nodes,threads,time,max_memory,cpu_percentage
1,1,20:52.70,51504,99
1,2,12:06.50,51012,197
1,4,8:16.08,51688,388
1,8,7:54.77,51976,602
1,16,7:38.22,52208,1126
2,1,24:40.50,46332,199
2,2,14:23.01,45960,297
2,4,12:39.29,46116,395
2,8,10:10.86,46124,653
4,1,12:12.58,45640,398
4,2,11:21.89,46312,568
4,4,10:45.48,46264,834
8,1,25:47.45,46600,799
8,2,18:38.52,45616,1004
16,1,43:15.48,47256,1597
