nodes,threads,time,max_memory,cpu_percentage
1,1,20:37.63,28880,0
1,2,12:11.54,29140,0
1,4,8:20.76,29604,0
1,8,7:48.91,29488,0
1,16,7:39.46,29544,0
2,1,24:31.12,29384,0
2,2,14:32.70,29700,0
2,4,12:37.08,29192,0
2,8,10:05.37,29364,0
4,1,12:13.05,29832,0
4,2,11:20.58,29344,0
4,4,10:24.40,29120,0
8,1,29:22.61,29624,0
8,2,17:42.91,29216,0
16,1,53:38.04,29712,0
