nodes,threads,time
1,1,2520.2090327
1,2,1359.6925015
1,4,815.0397797
1,8,595.5400164
1,16,448.4269042
2,1,2675.9412236
2,2,1506.5667533
2,4,921.1975536
2,8,662.400708
2,16,531.1297103
4,1,1228.5876833
4,2,754.0331565
4,4,542.6307315
4,8,489.3561641
4,16,474.7359214
8,1,1089.750168
8,2,731.2030546
8,4,591.1063463
8,8,512.8719397
8,16,503.8216855
16,1,933.4453899
16,2,718.1970731
16,4,591.5330329
16,8,527.9761893
16,16,496.6175474
