nodes,threads,time
1,1,5:12.18
1,2,2:41.10
1,4,1:25.78
1,8,1:00.65
1,16,0:57.45
2,1,5:22.77
2,2,2:46.99
2,4,1:33.85
2,8,1:14.22
2,16,1:04.60
4,1,5:29.54
4,2,3:10.95
4,4,2:54.85
4,8,2:45.36
4,16,2:39.15
8,1,6:28.78
8,2,6:30.25
8,4,6:11.88
8,8,6:05.06
8,16,6:04.13
16,1,14:07.37
16,2,10:24.14
16,4,8:06.42
16,8,7:05.37
16,16,6:33.49
