nodes,threads,subpopulations,time,max_memory,cpu_percentage
1,1,16,1:22:40,99824,99
1,2,16,41:53.72,99316,199
1,4,16,22:00.66,99552,394
1,8,16,13:10.04,99144,781
1,16,16,13:38.17,97632,1558
