nodes,threads,time,max_memory,cpu_percentage
1,1,41:48.78,62300,99
1,2,20:58.22,62952,199
1,4,11:06.26,62448,396
1,8,6:37.68,62572,782
1,16,6:52.40,63128,1561
2,1,42:11.66,56536,199
2,2,21:14.65,57292,299
2,4,11:53.26,57348,496
2,8,9:20.14,56960,714
4,1,15:58.67,58100,399
4,2,9:22.90,57144,660
4,4,7:54.95,57036,1062
8,1,13:03.41,57500,799
8,2,12:40.80,57068,1160
16,1,14:20.27,57684,1592
