nodes,threads,subpopulations,time,max_memory,cpu_percentage
1,1,4,20:39.73,46736,99
1,2,4,10:33.66,46788,199
1,4,4,5:36.25,46728,395
1,8,4,3:20.01,47104,781
1,16,4,3:29.17,47700,1558
