nodes,threads,subpopulations,time,max_memory,cpu_percentage
1,1,2,10:22.63,39772,99
1,2,2,5:13.86,39776,199
1,4,2,2:49.76,39956,394
1,8,2,1:39.37,40308,779
1,16,2,1:44.06,40644,1553
