nodes,threads,subpopulations,time,max_memory,cpu_percentage
1,1,1,5:09.43,35928,99
1,2,1,2:37.79,36336,198
1,4,1,1:22.73,36244,393
1,8,1,0:50.58,37088,773
1,16,1,0:52.32,37180,1542
